Date/Time,Power Delivered (W)
03/26/2023 06:45 PM EDT,144
03/26/2023 06:50 PM EDT,120
03/26/2023 06:55 PM EDT,120
03/26/2023 07:00 PM EDT,84
03/26/2023 07:05 PM EDT,72
03/26/2023 07:10 PM EDT,60
03/26/2023 07:15 PM EDT,24
03/26/2023 07:20 PM EDT,0
03/26/2023 07:25 PM EDT,0
03/26/2023 07:30 PM EDT,0
03/26/2023 07:35 PM EDT,0
03/26/2023 07:40 PM EDT,0
03/26/2023 07:45 PM EDT,0
03/26/2023 07:50 PM EDT,0
03/26/2023 07:55 PM EDT,0
03/26/2023 08:00 PM EDT,0
03/26/2023 08:05 PM EDT,0
03/26/2023 08:10 PM EDT,0
03/26/2023 08:15 PM EDT,0
03/26/2023 08:20 PM EDT,0
03/26/2023 08:25 PM EDT,0
03/26/2023 08:30 PM EDT,0
03/26/2023 08:35 PM EDT,0
03/26/2023 08:40 PM EDT,0
03/26/2023 08:45 PM EDT,0
03/26/2023 08:50 PM EDT,0
03/26/2023 08:55 PM EDT,0
03/26/2023 09:00 PM EDT,0
03/26/2023 09:05 PM EDT,0
03/26/2023 09:10 PM EDT,0
03/26/2023 09:15 PM EDT,0
03/26/2023 09:20 PM EDT,0
03/26/2023 09:25 PM EDT,0
03/26/2023 09:30 PM EDT,0
03/26/2023 09:35 PM EDT,0
03/26/2023 09:40 PM EDT,0
03/26/2023 09:45 PM EDT,0
03/26/2023 09:50 PM EDT,0
03/26/2023 09:55 PM EDT,0
03/26/2023 10:00 PM EDT,0
03/26/2023 10:05 PM EDT,0
03/26/2023 10:10 PM EDT,0
03/26/2023 10:15 PM EDT,0
03/26/2023 10:20 PM EDT,0
03/26/2023 10:25 PM EDT,0
03/26/2023 10:30 PM EDT,0
03/26/2023 10:35 PM EDT,0
03/26/2023 10:40 PM EDT,0
03/26/2023 10:45 PM EDT,0
03/26/2023 10:50 PM EDT,0
03/26/2023 10:55 PM EDT,0
03/26/2023 11:00 PM EDT,0
03/26/2023 11:05 PM EDT,0
03/26/2023 11:10 PM EDT,0
03/26/2023 11:15 PM EDT,0
